blob,area,cx,cy,orientation,,blob,area,cx,cy,orientation,,Dev Mag,Dev Angle
1,441,215.5170068,40.23356009,78.08407707,,1,441,172.5170068,29.23356009,78.08407707,,44.38468204,-165.650668
2,441,117.5170068,41.23356009,78.08407707,,2,441,65.5170068,35.23356009,78.08407707,,52.34500931,-173.4180553
3,441,166.5170068,41.23356009,78.08407707,,3,441,215.5170068,40.23356009,78.08407707,,49.01020302,-1.169139328
4,441,69.5170068,42.23356009,78.08407707,,4,441,127.5170068,41.23356009,78.08407707,,58.00862005,-0.9877604
5,441,70.5170068,82.23356009,78.08407707,,5,585,223.3521368,75.03589744,79.26308731,,153.0045205,-2.696312146
6,441,118.5170068,82.23356009,78.08407707,,6,584,171.4006849,75.80479452,79.62340159,,53.27299916,-6.931110604
7,441,167.5170068,82.23356009,78.08407707,,7,441,118.5170068,82.23356009,78.08407707,,49,180
8,441,216.5170068,83.23356009,78.08407707,,8,641,67.96723869,86.44305772,78.23146586,,148.5844355,178.7622864
9,441,215.5170068,118.2335601,78.08407707,,9,441,215.5170068,118.2335601,78.08407707,,0,#DIV/0!
10,441,117.5170068,119.2335601,78.08407707,,10,441,117.5170068,119.2335601,78.08407707,,0,#DIV/0!
11,441,166.5170068,119.2335601,78.08407707,,11,441,166.5170068,119.2335601,78.08407707,,0,#DIV/0!
12,441,69.5170068,120.2335601,78.08407707,,12,419,64.51789976,124.7852029,77.52026126,,6.760807877,137.6824156
13,441,70.5170068,160.2335601,78.08407707,,13,441,174.5170068,161.2335601,78.08407707,,104.0048076,0.550903979
14,441,118.5170068,160.2335601,78.08407707,,14,441,225.5170068,162.2335601,78.08407707,,107.01869,1.070824455
15,441,167.5170068,160.2335601,78.08407707,,15,441,128.5170068,165.2335601,78.08407707,,39.3192065,172.6942405
16,441,216.5170068,161.2335601,78.08407707,,16,441,82.5170068,166.2335601,78.08407707,,134.0932511,177.8630891
