blob,area,cx,cy,orientation
1,441,172.517006802721,29.2335600907029,78.0840770704105
2,441,65.5170068027211,35.2335600907029,78.0840770704105
3,441,215.517006802721,40.2335600907029,78.0840770704105
4,441,127.517006802721,41.2335600907029,78.0840770704105
5,585,223.352136752137,75.0358974358974,79.2630873059622
6,584,171.400684931507,75.8047945205479,79.6234015896443
7,441,118.517006802721,82.233560090703,78.0840770704105
8,641,67.9672386895476,86.4430577223089,78.2314658621303
9,441,215.517006802721,118.233560090703,78.0840770704105
10,441,117.517006802721,119.233560090703,78.0840770704105
11,441,166.517006802721,119.233560090703,78.0840770704105
12,419,64.5178997613365,124.785202863962,77.5202612568218
13,441,174.517006802721,161.233560090703,78.0840770704105
14,441,225.517006802721,162.233560090703,78.0840770704105
15,441,128.517006802721,165.233560090703,78.0840770704105
16,441,82.5170068027211,166.233560090703,78.0840770704105
